@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,59_ionosphere,61_iris,8_liver-disorders}
@attribute tree_time numeric
@attribute naive_bayes_time numeric
@attribute stump_time numeric
@attribute nn_time numeric
@attribute simple_time numeric
@attribute statistical_time numeric
@attribute inftheo_time numeric
@attribute total_time numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
1467_climate-model-simulation-crashes,28.195801,403.654785,183.496826,262.481934,3.51001,798.424072,304.968018,2056.761963,0.634118,0.613362,0.628023,0.613977
210_cloud,240.00708,824.064209,912.423828,726.150879,293.418945,29112.60791,764.666504,33311.983154,0.299097,0.336528,0.285833,0.337292
23_cmc,27.109863,426.216064,123.825195,454.877197,3.467041,472.030762,165.401855,1756.378906,0.473805,0.523496,0.515674,0.518221
40_sonar,33.699951,360.827148,536.135986,205.486816,5.778809,5691.877197,676.209229,7642.159912,0.735396,0.718241,0.721609,0.70687
307_vowel,525.756836,468.07373,157.464844,383.355957,4.133057,1788.367188,265.533936,3668.402832,0.802896,0.821212,0.604579,0.820741
35_dermatology,26.796143,347.164063,421.537842,229.693115,4.853027,8259.902832,372.826904,9901.893799,0.934491,0.944759,0.92715,0.931384
1473_fertility,325.842529,955.686279,3237.067871,1520.520996,84.066162,3107.621582,2093.48999,12129.8479,0.489769,0.518565,0.527639,0.567338
1475_first-order-theorem-proving,2930.806974,19625.998844,4033.220508,2259.083789,16.055493,71608.951156,31916.705509,132943.643351,0.411009,0.410473,0.271877,0.396646
173_solar-flare,37.291504,2010.476807,3959.406982,2470.380615,63.67749,7104.422607,1500.870605,18162.019043,0.539765,0.536094,0.535141,0.551014
43_haberman,8.967773,73.114746,27.650146,200.076172,5.344238,44.145996,46.812988,466.619873,0.56502,0.576875,0.567381,0.606855
329_hayes-roth,7.929932,41.464111,44.817871,209.810791,2.501953,44.663086,52.791992,440.957275,0.703148,0.705741,0.579537,0.750185
49_heart-c,11.932129,142.563477,143.192139,287.184326,3.493164,371.910889,141.302002,1172.822266,0.30861,0.298819,0.28611,0.283605
51_heart-h,11.662842,110.455078,114.10498,187.73291,6.481201,286.612061,130.416992,898.737061,0.760397,0.770516,0.77573,0.770651
1512_heart-long-beach,201.466797,1172.103027,2943.076416,1105.058838,106.712158,10525.0896,1840.026611,18550.290283,0.262478,0.244711,0.2365,0.236767
1565_heart-h-v3,197.838623,2485.970703,3733.735107,1410.642334,36.990723,10789.601563,1968.584473,21405.308838,0.327245,0.305728,0.314545,0.306117
55_hepatitis,13.241211,80.48291,165.019775,186.817871,3.326172,852.187988,189.263916,1554.178955,0.631987,0.626891,0.635406,0.643793
1479_hill-valley,1636.85498,9593.435791,4562.950684,988.901855,19.78125,53393.835938,5468.381104,76396.350342,0.499464,0.533763,0.522044,0.543974
25_colic,16.349854,247.213135,320.660156,357.30127,3.627197,34322.637695,290.220215,38114.641846,0.836604,0.855579,0.860278,0.842008
1480_ilpd,23.848633,224.425781,101.05127,245.22998,5.332031,224.305908,155.660889,1059.045166,0.577394,0.570975,0.570929,0.569705
59_ionosphere,31.332031,376.312988,319.387207,239.413086,5.290039,1909.309326,439.683838,3407.486084,0.881249,0.872559,0.85158,0.886395
61_iris,8.47583,50.650146,43.352783,161.730713,3.309814,44.37085,37.949219,382.104004,0.945556,0.935889,0.931833,0.938944
3_kr-vs-kp,107.424072,2212.352051,894.009033,932.660889,5.953125,5585.729004,649.71582,10644.692139,0.994132,0.994003,0.967667,0.993215
40496_LED-display-domain-7digit,224.201904,4015.235596,1867.688721,1650.437744,67.022461,7651.240479,1361.811279,17412.876465,0.245,0.263833,0.255889,0.249389
1484_lsvt,114.543701,1330.341309,6069.06958,223.229004,283.977295,222179.173584,4181.615234,239382.298096,0.715,0.70738,0.760907,0.724088
310_mammography,841.36084,10829.964111,712.263184,7675.159668,9.037109,689.57251,10990.775146,32468.676514,0.768713,0.78718,0.777865,0.78325
566_meta,66824.727743,945.028451,1569.939046,213.852726,11.912077,16655.835018,482.583496,86834.272697,0.025185,0.057569,0.069954,0.067199
14_mfeat-fourier,1466.01709,4695.768799,1494,1034.676025,9.191895,68435.551758,5158.671143,81947.597168,0.760725,0.763449,0.683757,0.753219
1514_micro-mass,1341.851563,21727.545898,38474.701172,491.283936,299.690918,14178365.956055,15801.983154,14281902.615967,0.881944,0.867694,0.858222,0.871722
164_molecular-biology-promoters,21.98999,147.817871,537.744873,169.850342,5.438965,10255.030273,666.75,12370.786865,0.786056,0.740611,0.701667,0.729167
333_monks-problems-1,10.750977,134.929199,63.931152,293.75415,2.36792,82.238037,53.843994,686.527588,0.750711,0.959654,0.836609,0.924545
