@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,59_ionosphere,61_iris,8_liver-disorders}
@attribute edges numeric
@attribute degree numeric
@attribute density numeric
@attribute maxComp numeric
@attribute closeness numeric
@attribute betweenness numeric
@attribute clsCoef numeric
@attribute hubs numeric
@attribute avgPath numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
40_sonar,2482,23.865385,0.115292,111,0.000046,54.615385,0.239549,0.578358,2.051106,0.735396,0.718241,0.721609,0.70687
307_vowel,21369,43.169697,0.04365,90,0.000001,26.728283,0.063015,0.748111,1.646941,0.802896,0.821212,0.604579,0.820741
35_dermatology,3910,21.36612,0.058537,112,0.000009,61.180328,0.124525,0.78089,2.785232,0.934491,0.944759,0.92715,0.931384
1473_fertility,722,14.44,0.145859,88,0.000644,46.97,0.455149,0.525339,2.225967,0.489769,0.518565,0.527639,0.567338
1475_first-order-theorem-proving,1078383,352.52795,0.057631,2554,0,703.266754,0.126611,0.708,1.942496,0.411009,0.410473,0.271877,0.396646
173_solar-flare,10696,66.229102,0.20568,316,0.000339,154.910217,0.335474,0.606699,2.005284,0.539765,0.536094,0.535141,0.551014
43_haberman,5724,37.411765,0.122662,225,0.000033,140.424837,0.310033,0.658016,2.53881,0.56502,0.576875,0.567381,0.606855
329_hayes-roth,1122,14.025,0.088208,65,0.000062,33.5375,0.283247,0.574819,2.315865,0.703148,0.705741,0.579537,0.750185
49_heart-c,4905,32.376238,0.107206,165,0.000022,100.006601,0.232042,0.617908,2.340429,0.30861,0.298819,0.28611,0.283605
51_heart-h,4861,33.068027,0.11286,188,0.000027,107.469388,0.23467,0.62176,2.345546,0.760397,0.770516,0.77573,0.770651
1512_heart-long-beach,849,8.49,0.042663,56,0.000033,39.24,0.081356,0.655172,2.684416,0.262478,0.244711,0.2365,0.236767
1565_heart-h-v3,4074,27.714286,0.094588,188,0.000025,93.387755,0.244658,0.642013,2.454033,0.327245,0.305728,0.314545,0.306117
55_hepatitis,1661,21.432258,0.139171,123,0.000162,68.619355,0.310616,0.581805,2.314008,0.631987,0.626891,0.635406,0.643793
1479_hill-valley,74160,122.376238,0.101054,606,0.000001,818.235149,0.200553,0.77248,3.706407,0.499464,0.533763,0.522044,0.543974
25_colic,7903,42.951087,0.117033,232,0.000017,155.459239,0.191146,0.768149,2.563554,0.836604,0.855579,0.860278,0.842008
1480_ilpd,22544,77.337907,0.132883,416,0.000008,208.358491,0.297297,0.657358,2.220239,0.577394,0.570975,0.570929,0.569705
59_ionosphere,9310,53.048433,0.151567,225,0.000019,105,0.26163,0.666693,2.090238,0.881249,0.872559,0.85158,0.886395
61_iris,1871,24.946667,0.167427,50,0.000066,14.286667,0.219462,0.761778,1.462857,0.945556,0.935889,0.931833,0.938944
3_kr-vs-kp,0,0,0,1,0,0,1,0,0,0.994132,0.994003,0.967667,0.993215
40496_LED-display-domain-7digit,9319,37.276,0.074701,57,0.000004,7.39,0.094792,0.864375,1.412281,0.245,0.263833,0.255889,0.249389
1484_lsvt,784,12.444444,0.099556,84,0.000147,101.484127,0.184319,0.756645,4.12249,0.715,0.70738,0.760907,0.724088
310_mammography,12816761,2292.186533,0.204989,10923,0,6954.462577,0.265934,0.7121,2.303561,0.768713,0.78718,0.777865,0.78325
14_mfeat-fourier,141664,141.664,0.070867,200,0,28.764,0.099675,0.873041,1.003467,0.760725,0.763449,0.683757,0.753219
1514_micro-mass,4973,27.627778,0.076958,36,0.000009,3.736111,0.095528,0.899477,1.077778,0.881944,0.867694,0.858222,0.871722
