@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,59_ionosphere,61_iris,8_liver-disorders}
@attribute skewness numeric
@attribute skewness_prep numeric
@attribute kurtosis numeric
@attribute kurtosis_prep numeric
@attribute abs_cor numeric
@attribute cancor_1 numeric
@attribute fract_1 numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
1487_ozone-level-8hr,0.71679,0.71679,4.447025,4.447025,0.326277,0.420737,1,0.629044,0.632743,0.604039,0.633013
30_page-blocks,4.023052,4.023052,39.413637,39.413637,0.411485,0.720885,0.400764,0.828998,0.790987,0.75225,0.799513
1488_parkinsons,1.414976,1.414976,6.623472,6.623472,0.443076,0.701957,1,0.795968,0.775433,0.792063,0.825667
1489_phoneme,0.81705,0.81705,3.709803,3.709803,0.153697,0.497794,1,0.842833,0.845702,0.758835,0.842151
1491_one-hundred-plants-margin,0.818981,0.818981,3.421019,3.421019,0.239439,0.987148,0.046158,0.488283,0.484083,0.0615,0.47205
1492_one-hundred-plants-shape,0.527716,0.527716,2.833357,2.833357,0.582035,0.976942,0.09082,0.46015,0.455467,0.08515,0.44355
1493_one-hundred-plants-texture,1.324579,1.324579,4.779242,4.779242,0.304778,0.958134,0.037079,0.512417,0.51255,0.021683,0.512433
1526_wall-robot-navigation-v3,1.765915,1.765915,11.48457,11.48457,0.190606,0.689525,0.544818,0.99993,0.999883,1,1
1498_sa-heart,1.044785,0.994834,5.015073,4.612205,0.180293,0.485813,1,0.649509,0.646873,0.643778,0.632938
1499_seeds,0.258876,0.258876,2.809484,2.809484,0.434152,0.928341,0.536473,0.916508,0.911429,0.898889,0.916984
1501_semeion,1.770006,1.770006,9.176805,9.176805,0.130874,0.935469,0.152571,0.756054,0.754593,0.618812,0.755566
31_credit-g,1.13237,2.646456,3.819414,15.109157,0.158644,0.530518,1,0.623,0.634349,0.649746,0.643667
53_heart-statlog,0.966648,0.966648,3.703976,3.703976,0.115723,0.738409,1,0.778083,0.804167,0.79925,0.787556
36_segment,2.075717,2.075717,16.444051,16.444051,0.363027,0.981184,0.261,0.962182,0.961848,0.918066,0.953871
40734_satellite_image_v2,0.732841,0.732841,4.182673,4.182673,0.568587,0.936567,0.358588,0.833418,0.833306,0.789343,0.834783
54_vehicle,0.834146,0.834146,5.22981,5.22981,0.45422,0.841999,0.469645,0.727064,0.72489,0.686933,0.712032
1504_steel-plates-fault,2.768141,2.768141,46.516907,46.516907,0.238996,1,1,1,1,1,1
48_tae,0.461777,1.17899,2.287681,4.485006,0.196687,0.421226,0.684125,0.440648,0.428241,0.405833,0.41713
40499_texture,0.45987,0.45987,3.753873,3.753873,0.651381,0.989646,0.130702,0.930731,0.931504,0.811109,0.925676
1506_thoracic-surgery,2.476082,3.358267,18.300993,28.598043,0.118813,0.350963,1,0.497863,0.506804,0.49247,0.524036
40474_thyroid-allbp,2.348961,5.473472,25.939293,62.48123,0.094178,0.61556,0.404247,0.455623,0.450992,0.333102,0.445691
40475_thyroid-allhyper,2.348961,5.473472,25.939293,62.48123,0.094178,0.61556,0.404247,0.455623,0.450992,0.333102,0.445691
1508_user-knowledge,0.458011,0.458011,2.503316,2.503316,0.172811,0.968019,0.910601,0.781469,0.767135,0.768985,0.761405
1523_vertebra-column,0.773325,0.773325,6.471457,6.471457,0.334149,0.772152,0.755814,0.760889,0.766074,0.779,0.768556
187_wine,0.627705,0.627705,3.439784,3.439784,0.206138,0.949111,0.528081,0.932823,0.930442,0.882892,0.906664
40733_yeast_v7,3.014849,3.014849,36.869923,36.869923,0.090435,0.684263,0.537073,0.621878,0.639269,0.636437,0.634751
