@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,59_ionosphere,61_iris,8_liver-disorders}
@attribute naive_bayes numeric
@attribute stump_min numeric
@attribute stump_max numeric
@attribute stump_mean numeric
@attribute stump_sd numeric
@attribute stump_min_gain numeric
@attribute stump_random numeric
@attribute nn_1 numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
23_cmc,0.507807,0.42702,0.450102,0.431998,0.009885,0.42702,0.448744,0.477257,0.473805,0.523496,0.515674,0.518221
40_sonar,0.730769,0.533654,0.759615,0.610897,0.055737,0.591346,0.634615,0.875,0.735396,0.718241,0.721609,0.70687
307_vowel,0.714141,0.090909,0.176768,0.132155,0.030595,0.090909,0.123232,0.993939,0.802896,0.821212,0.604579,0.820741
35_dermatology,0.991803,0.306011,0.502732,0.408952,0.070095,0.306011,0.448087,0.953552,0.934491,0.944759,0.92715,0.931384
1473_fertility,0.87,0.88,0.88,0.88,0,0.88,0.88,0.84,0.489769,0.518565,0.527639,0.567338
1475_first-order-theorem-proving,0.178495,0.411994,0.427608,0.412854,0.003476,0.411994,0.413449,0.559439,0.411009,0.410473,0.271877,0.396646
173_solar-flare,0.95356,0.978328,0.978328,0.978328,0,0.978328,0.978328,0.959752,0.539765,0.536094,0.535141,0.551014
43_haberman,0.764706,0.735294,0.74183,0.737473,0.003774,0.735294,0.74183,0.683007,0.56502,0.576875,0.567381,0.606855
329_hayes-roth,0.80625,0.40625,0.4875,0.467187,0.040625,0.40625,0.4875,0.76875,0.703148,0.705741,0.579537,0.750185
49_heart-c,0.844884,0.544554,0.765677,0.66489,0.076332,0.544554,0.693069,0.755776,0.30861,0.298819,0.28611,0.283605
51_heart-h,0.860544,0.639456,0.812925,0.687075,0.068796,0.639456,0.659864,0.751701,0.760397,0.770516,0.77573,0.770651
1512_heart-long-beach,0.1,0.28,0.35,0.299615,0.023493,0.28,0.335,0.345,0.262478,0.244711,0.2365,0.236767
1565_heart-h-v3,0.35034,0.639456,0.653061,0.640502,0.003773,0.639456,0.639456,0.571429,0.327245,0.305728,0.314545,0.306117
55_hepatitis,0.851613,0.793548,0.851613,0.803735,0.01891,0.793548,0.793548,0.812903,0.631987,0.626891,0.635406,0.643793
1479_hill-valley,0.510726,0.534653,0.542079,0.538548,0.001582,0.541254,0.539604,0.60066,0.499464,0.533763,0.522044,0.543974
25_colic,0.894022,0.630435,0.986413,0.671296,0.086955,0.630435,0.630435,0.747283,0.836604,0.855579,0.860278,0.842008
1480_ilpd,0.555746,0.713551,0.713551,0.713551,0,0.713551,0.713551,0.655232,0.577394,0.570975,0.570929,0.569705
59_ionosphere,0.905983,0.649573,0.837607,0.72356,0.043157,0.709402,0.692308,0.868946,0.881249,0.872559,0.85158,0.886395
61_iris,0.96,0.526667,0.666667,0.621667,0.066081,0.526667,0.666667,0.953333,0.945556,0.935889,0.931833,0.938944
3_kr-vs-kp,0.88204,0.522215,0.683354,0.550488,0.043965,0.522215,0.522215,0.90363,0.994132,0.994003,0.967667,0.993215
